Id,Bound
4000,0
4001,0
4002,0
4003,1
4004,0
4005,0
4006,0
4007,1
4008,1
4009,0
4010,0
4011,0
4012,0
4013,1
4014,1
4015,1
4016,1
4017,0
4018,0
4019,0
4020,0
4021,1
4022,0
4023,0
4024,1
4025,0
4026,0
4027,1
4028,1
4029,1
4030,0
4031,1
4032,1
4033,1
4034,1
4035,0
4036,0
4037,0
4038,1
4039,1
4040,1
4041,1
4042,1
4043,0
4044,1
4045,1
4046,1
4047,1
4048,0
4049,1
4050,1
4051,0
4052,0
4053,0
4054,1
4055,1
4056,1
4057,0
4058,0
4059,1
4060,0
4061,0
4062,1
4063,0
4064,1
4065,1
4066,1
4067,1
4068,0
4069,1
4070,1
4071,0
4072,1
4073,1
4074,1
4075,0
4076,1
4077,1
4078,0
4079,0
4080,0
4081,1
4082,1
4083,1
4084,1
4085,1
4086,1
4087,1
4088,1
4089,0
4090,0
4091,0
4092,0
4093,0
4094,0
4095,0
4096,1
4097,1
4098,1
4099,1
4100,1
4101,0
4102,0
4103,1
4104,1
4105,0
4106,1
4107,1
4108,1
4109,1
4110,0
4111,1
4112,1
4113,1
4114,0
4115,1
4116,0
4117,1
4118,0
4119,1
4120,0
4121,1
4122,1
4123,1
4124,0
4125,1
4126,0
4127,0
4128,1
4129,0
4130,1
4131,1
4132,0
4133,1
4134,1
4135,1
4136,1
4137,0
4138,1
4139,1
4140,0
4141,1
4142,0
4143,0
4144,1
4145,0
4146,1
4147,1
4148,0
4149,0
4150,0
4151,1
4152,1
4153,1
4154,0
4155,1
4156,0
4157,0
4158,0
4159,1
4160,1
4161,0
4162,0
4163,1
4164,0
4165,0
4166,1
4167,1
4168,1
4169,0
4170,1
4171,1
4172,1
4173,0
4174,1
4175,1
4176,0
4177,0
4178,1
4179,0
4180,0
4181,1
4182,1
4183,1
4184,0
4185,1
4186,0
4187,1
4188,1
4189,0
4190,1
4191,0
4192,0
4193,1
4194,1
4195,0
4196,0
4197,1
4198,1
4199,1
4200,0
4201,1
4202,0
4203,1
4204,1
4205,0
4206,0
4207,1
4208,0
4209,1
4210,0
4211,1
4212,0
4213,1
4214,0
4215,1
4216,1
4217,0
4218,1
4219,1
4220,0
4221,0
4222,1
4223,0
4224,0
4225,0
4226,1
4227,0
4228,1
4229,0
4230,1
4231,0
4232,1
4233,1
4234,1
4235,1
4236,0
4237,0
4238,0
4239,0
4240,1
4241,1
4242,1
4243,1
4244,1
4245,1
4246,0
4247,1
4248,0
4249,0
4250,0
4251,0
4252,1
4253,1
4254,1
4255,1
4256,1
4257,0
4258,0
4259,1
4260,0
4261,0
4262,1
4263,0
4264,1
4265,0
4266,0
4267,0
4268,0
4269,0
4270,0
4271,0
4272,0
4273,0
4274,1
4275,1
4276,0
4277,1
4278,1
4279,1
4280,1
4281,0
4282,1
4283,0
4284,0
4285,0
4286,0
4287,0
4288,0
4289,0
4290,1
4291,0
4292,0
4293,1
4294,1
4295,0
4296,0
4297,0
4298,0
4299,0
4300,1
4301,1
4302,0
4303,1
4304,0
4305,1
4306,0
4307,1
4308,0
4309,1
4310,1
4311,0
4312,0
4313,0
4314,1
4315,0
4316,1
4317,1
4318,0
4319,1
4320,1
4321,1
4322,1
4323,0
4324,1
4325,1
4326,1
4327,1
4328,1
4329,0
4330,0
4331,1
4332,0
4333,1
4334,0
4335,1
4336,1
4337,0
4338,1
4339,1
4340,0
4341,0
4342,0
4343,1
4344,1
4345,1
4346,0
4347,1
4348,1
4349,0
4350,1
4351,1
4352,1
4353,0
4354,1
4355,0
4356,0
4357,0
4358,1
4359,1
4360,0
4361,0
4362,0
4363,0
4364,1
4365,1
4366,0
4367,1
4368,0
4369,0
4370,0
4371,1
4372,1
4373,0
4374,1
4375,1
4376,1
4377,0
4378,1
4379,0
4380,1
4381,0
4382,1
4383,1
4384,0
4385,0
4386,1
4387,0
4388,1
4389,0
4390,0
4391,1
4392,1
4393,0
4394,1
4395,0
4396,1
4397,1
4398,1
4399,0
4400,0
4401,0
4402,0
4403,0
4404,0
4405,0
4406,0
4407,0
4408,1
4409,1
4410,1
4411,1
4412,1
4413,1
4414,0
4415,1
4416,1
4417,1
4418,0
4419,0
4420,1
4421,1
4422,0
4423,0
4424,1
4425,0
4426,1
4427,0
4428,1
4429,1
4430,1
4431,1
4432,1
4433,0
4434,0
4435,1
4436,0
4437,1
4438,1
4439,1
4440,1
4441,1
4442,1
4443,1
4444,0
4445,0
4446,0
4447,1
4448,1
4449,0
4450,1
4451,0
4452,0
4453,0
4454,0
4455,0
4456,0
4457,1
4458,0
4459,0
4460,1
4461,1
4462,1
4463,0
4464,0
4465,1
4466,1
4467,0
4468,0
4469,1
4470,0
4471,1
4472,1
4473,0
4474,1
4475,0
4476,1
4477,1
4478,1
4479,1
4480,1
4481,1
4482,1
4483,0
4484,1
4485,1
4486,1
4487,0
4488,1
4489,0
4490,0
4491,0
4492,0
4493,0
4494,0
4495,1
4496,0
4497,0
4498,0
4499,1
4500,1
4501,0
4502,1
4503,0
4504,1
4505,1
4506,0
4507,1
4508,0
4509,1
4510,1
4511,0
4512,1
4513,1
4514,1
4515,0
4516,1
4517,1
4518,1
4519,1
4520,0
4521,1
4522,1
4523,1
4524,0
